,CD_ORGAO,NM_ORGAO,NR_LICITACAO,ANO_LICITACAO,CD_TIPO_MODALIDADE,NR_PROCESSO,ANO_PROCESSO,TP_OBJETO,CD_TIPO_FASE_ATUAL,TP_LICITACAO,DS_OBJETO,VL_LICITACAO,NR_DOCUMENTO,DT_PROPOSTA,VL_TOTAL_PROPOSTA,TP_RESULTADO_PROPOSTA,NR_LOTE,NR_ITEM,NR_ITEM_ORIGINAL,DS_ITEM,QT_ITENS,SG_UNIDADE_MEDIDA,VL_UNITARIO_HOMOLOGADO,VL_TOTAL_HOMOLOGADO,TP_DOCUMENTO
0,86800,PM DE BOA VISTA DO SUL,4.0,2016,PRP,011,2016,COM,ADH,MPR,Aquisição de quadros (lousas) para as escolas municipais.,14875.92,8149396000145,2016-02-03,12720.0,C,1,2,2,"LOUSA/QUADRO ESCOLAR COM MOLDURA DE ALUMÍNIO - MED. 5.50M LARG.X1,5M ALT.(SENDO DUAS PECAS MED. 2,75 X 1,50M, UM QUADRO BRANCO PARA USO COM PINCEL E OUTRO QUADRO VERDE PARA USO COM GIZ)",2.0,UN,1060.0,2120.00,J
1,86800,PM DE BOA VISTA DO SUL,4.0,2016,PRP,011,2016,COM,ADH,MPR,Aquisição de quadros (lousas) para as escolas municipais.,14875.92,8149396000145,2016-02-03,12720.0,C,1,1,1,"LOUSA/QUADRO ESCOLAR COM MOLDURA DE ALUMÍNIO - MED. 6M LARG.X1,5M ALT.(SENDO DUAS PECAS MED. 3,00 X 1,50M, UM QUADRO BRANCO PARA USO COM PINCEL E OUTRO QUADRO VERDE PARA USO COM GIZ",10.0,UN,1060.0,10600.00,J
2,47701,CM DE ESTRELA,1.0,2016,PRP,6762,2016,COM,ADH,MPR,Aquisição e instalação de um elevador tipo plataforma elevatória para o prédio da CM de Estrela. ,51085.0,20745692000104,2016-12-23,47900.0,C,1,1,1,Aquisição Plataforma Elevatória,1.0,UN,47900.0,47900.00,J
3,77200,PM DE MATO LEITÃO,3.0,2016,PRP,014,2016,COM,ADH,MPR,compra de 1 motocicleta para o programa SUA NOTA VALE PREMIOS,7970.0,89908727000690,2016-02-01,7499.0,C,1,1,1,"compra de 1 motocicleta, para o programa SUA NOTA VALE PREMIOS",1.0,UN,7499.0,7499.00,J
4,77200,PM DE MATO LEITÃO,10.0,2016,PRP,071,2016,COM,ADH,MPR,Compra de cerca e portão de PVC para o Muro da Escola Municipal Ireno Bohn neste Município,10000.0,8048278000140,2016-03-24,9500.0,C,1,1,1,"Compra de cerca e portão de PVC para o Muro da Escola Municipal Ireno Bohn, neste Município",1.0,UN,9500.0,9500.00,J
5,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,7,7,"Envelope branco medindo aproximadamente 34cm x 24cm (envelope saco pronto), offset 90gr, com impressão 4x0 cor. ",500.0,UN,0.84,420.00,J
6,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,3,3,"Pasta pauta sulfite 75gr amarelo-claro, impressão 1x0 cor, formato aberto 48cm x 33cm, com uma dobra ao meio. ",300.0,UN,1.06,318.00,J
7,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,8,8,"Etiquetas adesivas em papel adesivo branco ou acrílico, formato redondo, tamanho aproximado de 2 cm x 2cm, impressão 4 cores. As etiquetas devem ser entregues em embalagens/pacotes plásticos transparentes de 200 unidades. ",2000.0,UN,0.2,400.00,J
8,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,6,6,"Cartão convite em papel linho branco 180gr, tamanho A5 21cm x 14,8 cm, impressão 4 x 0. Os cartões devem ser entregues em embalagens/pacotes plásticos transparentes de 200 unidades.",2000.0,UN,0.23,460.00,J
9,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,5,5,"Envelope branco em papel cartão 120gr. (envelope pronto), tamanho aproximado de 16,2 cm x 22,9cm, impressão 4x4 cor. Os envelopes devem ser entregues em embalagens/pacotes plásticos transparentes de 200 unidades. ",2000.0,UN,0.43,860.00,J
10,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,4,4,"Pasta pauta sulfite 75gr verde-claro, impressão 1x0 cor, formato aberto 48cm x 33cm, com uma dobra ao meio. ",100.0,UN,2.65,265.00,J
11,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,2,2,"Cartões de visita papel couché fosco 300gr com aplicação de prolan 1x1, tamanho 9cm x 5cm, impressão 4 x 4 cor, 13 artes com 500 impressões de cada.",6500.0,UN,0.22,1430.00,J
12,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C,1,1,1,"Folha timbrada branca offset 90 gramas, tamanho A4 210mm x 297mm, impressão 4x0 cor. As folhas devem ser entregues em embalagens/pacotes plásticos transparentes de 500 unidades.",20000.0,UN,0.06,1200.00,J
13,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,1,11011,CAMISA MASC N.1 ML,48.0,PC,73.68,3536.64,J
14,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,2,11012,CAMISA MASC N.2 ML,228.0,PC,73.68,16799.04,J
15,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,3,11013,CAMISA MASC N.3 ML,288.0,PC,73.68,21219.84,J
16,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,4,11014,CAMISA MASC N.4 ML,288.0,PC,73.68,21219.84,J
17,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,5,11015,CAMISA MASC N.5 ML,192.0,PC,73.68,14146.56,J
18,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,6,11016,CAMISA MASC N.6 ML,60.0,PC,73.68,4420.80,J
19,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,7,11017,CAMISA MASC N.7 ML,24.0,PC,73.68,1768.32,J
20,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,8,11018,CAMISA MASC N.8 ML,24.0,PC,73.68,1768.32,J
21,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,1,9,11019,CAMISA MASC SOB MEDIDA ML (TAM. ESPECIAL),12.0,PC,73.76,885.12,J
22,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,10,11032,CAMISA FEM.N.º 01 ML,24.0,PC,56.83,1363.92,J
23,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,11,11033,CAMISA FEM.N.º 02 ML,72.0,PC,56.83,4091.76,J
24,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,12,11034,CAMISA FEM. N.º 03 ML,108.0,PC,56.83,6137.64,J
25,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,13,11035,CAMISA FEM. N.º 04 ML,96.0,PC,56.83,5455.68,J
26,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,14,11036,CAMISA FEM. N.º 05 ML,72.0,PC,56.83,4091.76,J
27,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,15,11037,CAMISA FEM. N.º 06 ML,36.0,PC,56.83,2045.88,J
28,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,16,11040,CAMISA FEM. N.º 07 ML,24.0,PC,56.83,1363.92,J
29,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,17,11041,CAMISA FEM.N.º 08 ML,24.0,PC,56.83,1363.92,J
30,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C,2,18,11042,CAMISA FEM. SOBMEDIDA ML (TAM. ESPECIAL),12.0,PC,56.86,682.32,J
