,CD_ORGAO,NM_ORGAO,NR_LICITACAO,ANO_LICITACAO,CD_TIPO_MODALIDADE,NR_PROCESSO,ANO_PROCESSO,TP_OBJETO,CD_TIPO_FASE_ATUAL,TP_LICITACAO,DS_OBJETO,VL_LICITACAO,NR_DOCUMENTO,DT_PROPOSTA,VL_TOTAL_PROPOSTA,TP_RESULTADO_PROPOSTA
0,86800,PM DE BOA VISTA DO SUL,4.0,2016,PRP,011,2016,COM,ADH,MPR,Aquisição de quadros (lousas) para as escolas municipais.,14875.92,8149396000145,2016-02-03,12720.0,C
1,47701,CM DE ESTRELA,1.0,2016,PRP,6762,2016,COM,ADH,MPR,Aquisição e instalação de um elevador tipo plataforma elevatória para o prédio da CM de Estrela. ,51085.0,90347840004539,2016-12-23,48000.0,C
2,47701,CM DE ESTRELA,1.0,2016,PRP,6762,2016,COM,ADH,MPR,Aquisição e instalação de um elevador tipo plataforma elevatória para o prédio da CM de Estrela. ,51085.0,20745692000104,2016-12-23,47900.0,C
3,77200,PM DE MATO LEITÃO,3.0,2016,PRP,014,2016,COM,ADH,MPR,compra de 1 motocicleta para o programa SUA NOTA VALE PREMIOS,7970.0,89908727000690,2016-02-01,7499.0,C
4,77200,PM DE MATO LEITÃO,10.0,2016,PRP,071,2016,COM,ADH,MPR,Compra de cerca e portão de PVC para o Muro da Escola Municipal Ireno Bohn neste Município,10000.0,8048278000140,2016-03-24,9500.0,C
5,62501,CM DE VACARIA,2.0,2016,CNV,03,2016,COM,ADH,MPR,Aquisição de Materiais Impressos (Gráficos).,5379.82,93439313000121,2016-03-07,5353.0,C
6,54912,CIA. CARRIS PORTO-ALEGRENSE,115.0,2016,PRE,PE115,2016,COM,ADH,MPR,Aquisição parcelada de camisas manga longa - Operação.,110457.48,26395505000196,2017-01-11,112361.28,C
7,59800,PM DE SÃO VICENTE DO SUL,10.0,2016,PRP,116,2016,COM,ADH,MPR,FORNECIMENTO DE CARGAS DE GÁS DE COZINHA P13 E CARGAS DE ÁGUA MINERAL 20 LITROS SEM GÁS,28124.0,93383537000169,2016-05-12,3200.0,C
8,59800,PM DE SÃO VICENTE DO SUL,10.0,2016,PRP,116,2016,COM,ADH,MPR,FORNECIMENTO DE CARGAS DE GÁS DE COZINHA P13 E CARGAS DE ÁGUA MINERAL 20 LITROS SEM GÁS,28124.0,5530737000130,2016-05-12,20400.0,C
9,59800,PM DE SÃO VICENTE DO SUL,10.0,2016,PRP,116,2016,COM,ADH,MPR,FORNECIMENTO DE CARGAS DE GÁS DE COZINHA P13 E CARGAS DE ÁGUA MINERAL 20 LITROS SEM GÁS,28124.0,15733778000187,2016-05-12,3198.0,C
