,CD_ORGAO,NM_ORGAO,NR_LICITACAO,ANO_LICITACAO,CD_TIPO_MODALIDADE,NR_PROCESSO,ANO_PROCESSO,TP_OBJETO,CD_TIPO_FASE_ATUAL,TP_LICITACAO,DS_OBJETO,VL_LICITACAO,NR_DOCUMENTO,DT_PROPOSTA,VL_TOTAL_PROPOSTA,TP_RESULTADO_PROPOSTA
0,82701,CM DE XANGRI-LÁ,1.0,2017,PRP,507,2017,COM,ADH,MPR,AQUISIÇÃO DE POLTRONA DE AUDITÓRIO PARA PLENÁRIO DA CÂMARA,52672.73,94521341000156,2017-02-01,52671.84,C
1,82701,CM DE XANGRI-LÁ,1.0,2017,PRP,507,2017,COM,ADH,MPR,AQUISIÇÃO DE POLTRONA DE AUDITÓRIO PARA PLENÁRIO DA CÂMARA,52672.73,09074533000192,2017-02-01,52600.0,C
2,77500,PM DE MORMAÇO,1.0,2017,CNV,2,2017,COM,ADH,MPR,Aquisição de Materiais de Construção,17621.5,10388083000191,2017-01-13,16377.85,C
3,77500,PM DE MORMAÇO,1.0,2017,CNV,2,2017,COM,ADH,MPR,Aquisição de Materiais de Construção,17621.5,08926733000163,2017-01-13,16761.1,C
4,77500,PM DE MORMAÇO,1.0,2017,CNV,2,2017,COM,ADH,MPR,Aquisição de Materiais de Construção,17621.5,97506455001006,2017-01-13,3721.0,C
5,77500,PM DE MORMAÇO,1.0,2017,CNV,2,2017,COM,ADH,MPR,Aquisição de Materiais de Construção,17621.5,15384701000149,2017-01-13,16116.25,C
6,40500,PM DE ALPESTRE,1.0,2017,CHP,2,2017,COM,ADH,MPR,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR,39849.65,08835220000147,2017-02-06,8670.0,C
7,40500,PM DE ALPESTRE,1.0,2017,CHP,2,2017,COM,ADH,MPR,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR PARA ALIMENTAÇÃO ESCOLAR,39849.65,09014609000194,2017-02-06,39849.65,C
8,40500,PM DE ALPESTRE,1.0,2017,PRP,1,2017,COM,ADH,MPR,AQUISIÇAO DE COMBUSTÍVEIS COM ENTREGA PARCELADA,1346700.0,04195371000127,2017-01-27,806000.0,C
9,40500,PM DE ALPESTRE,1.0,2017,PRP,1,2017,COM,ADH,MPR,AQUISIÇAO DE COMBUSTÍVEIS COM ENTREGA PARCELADA,1346700.0,88493192000166,2017-01-27,530000.0,C
10,40500,PM DE ALPESTRE,2.0,2017,PRP,3,2017,COM,ADH,MPR,REGISTRO DE PREÇOS objetivando AQUISIÇÃO DE PRODUTOS PARA MERENDA ESCOLAR COM ENTREGA PARCELADA,145245.5,07817427000126,2017-01-31,36271.0,C
11,40500,PM DE ALPESTRE,2.0,2017,PRP,3,2017,COM,ADH,MPR,REGISTRO DE PREÇOS objetivando AQUISIÇÃO DE PRODUTOS PARA MERENDA ESCOLAR COM ENTREGA PARCELADA,145245.5,94353976000272,2017-01-31,27334.0,C
12,40500,PM DE ALPESTRE,2.0,2017,PRP,3,2017,COM,ADH,MPR,REGISTRO DE PREÇOS objetivando AQUISIÇÃO DE PRODUTOS PARA MERENDA ESCOLAR COM ENTREGA PARCELADA,145245.5,26599849000117,2017-01-31,37862.0,C
13,40500,PM DE ALPESTRE,2.0,2017,PRP,3,2017,COM,ADH,MPR,REGISTRO DE PREÇOS objetivando AQUISIÇÃO DE PRODUTOS PARA MERENDA ESCOLAR COM ENTREGA PARCELADA,145245.5,06069859000133,2017-01-31,42728.2,C
14,60100,PM DE SARANDI,1.0,2017,TMP,004,2017,COM,ADH,MPR,contratação de empresa com responsabilidade técnica para o transporte de imagens de câmaras de vídeo monitoramento instaladas em vias públicas através de cabo de fibra óptica de 15 pontos sendo 14 câmaras localizadas em diversos pontos da  cidade enviando para a central de monitoramento que esta localizada no prédio da Brigada Militar de Sarandi. Através do termo de convênio  nº 33/2016 celebrado entre  a Secretaria de Segurança Publica e o Munícipio de Sarandi-RS,44699.4,11705964000151,2017-01-16,44640.0,C
15,65600,PM DE CAMPOS BORGES,1.0,2017,PRP,2,2017,COM,ADH,MPR,AQUISIÇÃO DE 28.800 LITROS DE GASOLINA ADITIVADA (ABASTECIMENTO EM BOMBA) E 100.000 LITROS DE OLEO DIESEL S10 (ENTREGA PARCELADA NO TANQUE) PARA USO EM DIVERSAS MAQUINAS E VEICULOS DA PREFEITURA MUNICIPAL DE CAMPOS BORGES.,405216.0,08458923000101,2017-01-23,114624.0,C
16,65600,PM DE CAMPOS BORGES,1.0,2017,PRP,2,2017,COM,ADH,MPR,AQUISIÇÃO DE 28.800 LITROS DE GASOLINA ADITIVADA (ABASTECIMENTO EM BOMBA) E 100.000 LITROS DE OLEO DIESEL S10 (ENTREGA PARCELADA NO TANQUE) PARA USO EM DIVERSAS MAQUINAS E VEICULOS DA PREFEITURA MUNICIPAL DE CAMPOS BORGES.,405216.0,87058673000180,2017-01-23,285000.0,C
17,73200,PM DE VISTA GAÚCHA,1.0,2017,CNV,4,2017,COM,ADH,MPR,Aquisição de merenda escolar para uso na Rede Municipal de Ensino durante o primeiro semestre de 2017,45100.91,11538562000100,2017-02-02,2100.0,C
18,73200,PM DE VISTA GAÚCHA,1.0,2017,CNV,4,2017,COM,ADH,MPR,Aquisição de merenda escolar para uso na Rede Municipal de Ensino durante o primeiro semestre de 2017,45100.91,14068593000132,2017-02-02,2370.0,C
